reward_mode,seed,episode,episode_reward
no_progress,1,33,97.45642983913422
no_progress,1,34,96.09372188150883
no_progress,1,35,91.63429398834705
no_progress,1,36,96.79220722615719
no_progress,1,37,94.64348808676004
no_progress,1,38,94.99480921030045
no_progress,1,39,91.98077009618282
no_progress,1,40,91.3796558752656
no_progress,1,41,97.65183760225773
no_progress,1,42,95.20446674525738
no_progress,1,43,94.30619274824858
no_progress,1,44,96.77214270085096
no_progress,1,45,95.97570972144604
no_progress,1,46,97.15142249315977
no_progress,1,47,96.57489278912544
no_progress,1,48,94.82499150931835
no_progress,1,49,94.99821825325489
no_time_penalty,0,0,104.30647945404053
no_time_penalty,0,1,105.20044142007828
no_time_penalty,0,2,105.17703419923782
no_time_penalty,0,3,105.41803419589996
no_time_penalty,0,4,105.51754719018936
no_time_penalty,0,5,105.26185619831085
no_time_penalty,0,6,103.68337512016296
no_time_penalty,0,7,104.3001424074173
no_time_penalty,0,8,105.63032937049866
no_time_penalty,0,9,105.69489723443985
no_time_penalty,0,10,102.71260118484497
no_time_penalty,0,11,103.47206746041775
no_time_penalty,0,12,103.43245726823807
no_time_penalty,0,13,103.33704149723053
no_time_penalty,0,14,105.52941906452179
no_time_penalty,0,15,105.55319547653198
no_time_penalty,0,16,105.53030633926392
no_time_penalty,0,17,103.94454005360603
no_time_penalty,0,18,104.70470029115677
no_time_penalty,0,19,103.63634729385376
no_time_penalty,0,20,103.40286129713058
no_time_penalty,0,21,106.24288207292557
no_time_penalty,0,22,104.28209745883942
no_time_penalty,0,23,103.2642050087452
no_time_penalty,0,24,103.69824653863907
no_time_penalty,0,25,103.99120551347733
no_time_penalty,0,26,104.65262910723686
no_time_penalty,0,27,105.14414989948273
no_time_penalty,0,28,104.40037482976913
no_time_penalty,0,29,103.76694282889366
no_time_penalty,0,30,105.64897948503494
no_time_penalty,0,31,104.66365057229996
no_time_penalty,0,32,103.21617068350315
no_time_penalty,0,33,102.30056104063988
no_time_penalty,0,34,105.64659541845322
no_time_penalty,0,35,103.0979466587305
no_time_penalty,0,36,102.36461162567139
no_time_penalty,0,37,104.80123871564865
no_time_penalty,0,38,105.29302901029587
no_time_penalty,0,39,104.1087444126606
no_time_penalty,0,40,102.47969573736191
no_time_penalty,0,41,103.02170494198799
no_time_penalty,0,42,104.56907325983047
no_time_penalty,0,43,103.44300636649132
no_time_penalty,0,44,104.910435795784
no_time_penalty,0,45,103.45036651194096
no_time_penalty,0,46,105.72758841514587
no_time_penalty,0,47,104.96459019184113
no_time_penalty,0,48,104.70781338214874
no_time_penalty,0,49,101.8732448220253
no_time_penalty,1,0,103.56154829263687
no_time_penalty,1,1,103.8651755452156
no_time_penalty,1,2,104.43722951412201
no_time_penalty,1,3,104.8203756287694
no_time_penalty,1,4,102.52611602842808
no_time_penalty,1,5,104.77212780714035
no_time_penalty,1,6,103.18563884496689
no_time_penalty,1,7,106.48693507909775
no_time_penalty,1,8,103.23015835881233
no_time_penalty,1,9,103.31132653355598
no_time_penalty,1,10,104.10311463475227
no_time_penalty,1,11,104.22094106674194
no_time_penalty,1,12,101.82938796281815
no_time_penalty,1,13,105.18012768030167
no_time_penalty,1,14,105.94358617067337
no_time_penalty,1,15,105.634730219841
no_time_penalty,1,16,-48.65803673490882
no_time_penalty,1,17,103.80121403932571
no_time_penalty,1,18,104.02509051561356
no_time_penalty,1,19,104.48241037130356
no_time_penalty,1,20,104.57367759943008
no_time_penalty,1,21,103.9458757340908
no_time_penalty,1,22,106.35698419809341
no_time_penalty,1,23,105.38837308809161
no_time_penalty,1,24,102.92712858319283
no_time_penalty,1,25,104.14705717563629
no_time_penalty,1,26,102.60979723930359
no_time_penalty,1,27,105.52033668756485
no_time_penalty,1,28,102.76523357629776
no_time_penalty,1,29,105.6483246088028
no_time_penalty,1,30,99.96598690748215
no_time_penalty,1,31,103.39141944050789
no_time_penalty,1,32,101.51531481742859
no_time_penalty,1,33,104.07151299715042
no_time_penalty,1,34,105.52833896875381
no_time_penalty,1,35,104.32629948854446
no_time_penalty,1,36,102.40949529409409
no_time_penalty,1,37,74.01717026159167
no_time_penalty,1,38,105.14798521995544
no_time_penalty,1,39,105.11930656433105
no_time_penalty,1,40,104.93818098306656
no_time_penalty,1,41,104.25029003620148
no_time_penalty,1,42,105.5181702375412
no_time_penalty,1,43,106.26627373695374
no_time_penalty,1,44,104.60268551111221
no_time_penalty,1,45,102.89179253578186
no_time_penalty,1,46,105.56691181659698
no_time_penalty,1,47,104.27838838100433
no_time_penalty,1,48,106.04225146770477
no_time_penalty,1,49,105.18280774354935
distance_only,0,0,-1.8047507666051388
distance_only,0,1,-6.060031536966562
distance_only,0,2,-2.7219985276460648
distance_only,0,3,-8.131287328898907
distance_only,0,4,-4.115371808409691
distance_only,0,5,-6.498995680361986
distance_only,0,6,-6.099630162119865
distance_only,0,7,-1.28811714053154
distance_only,0,8,-6.114709530025721
distance_only,0,9,-5.8421212919056416
distance_only,0,10,-4.248417638242245
distance_only,0,11,-5.707969233393669
distance_only,0,12,-1.011702336370945
distance_only,0,13,-7.5052646324038506
distance_only,0,14,-4.5875742100179195
distance_only,0,15,-4.887604482471943
distance_only,0,16,-3.749555667862296
distance_only,0,17,-2.0642577596008778
distance_only,0,18,-5.547603391110897
distance_only,0,19,-2.8642529044300318
distance_only,0,20,-0.7517454084008932
distance_only,0,21,-3.9616529271006584
distance_only,0,22,-7.417058896273375
distance_only,0,23,-5.077676292508841
distance_only,0,24,-3.27962582744658
distance_only,0,25,-2.5156842097640038
distance_only,0,26,-2.8959659561514854
distance_only,0,27,-3.8812128007411957
distance_only,0,28,-4.902574621140957
distance_only,0,29,-4.871779745444655
distance_only,0,30,-4.959018606692553
distance_only,0,31,-3.9613495599478483
distance_only,0,32,-6.359074886888266
distance_only,0,33,-6.6478440053761005
distance_only,0,34,-5.80806740373373
distance_only,0,35,-6.021563870832324
distance_only,0,36,-5.542572870850563
distance_only,0,37,-4.235645152628422
distance_only,0,38,-8.523499082773924
distance_only,0,39,-6.748404577374458
distance_only,0,40,-4.653501734137535
distance_only,0,41,-6.545572878792882
distance_only,0,42,-2.037099316716194
distance_only,0,43,-1.2016442604362965
distance_only,0,44,-2.7034441884607077
distance_only,0,45,-5.426888668909669
distance_only,0,46,-5.869421970099211
distance_only,0,47,-4.115313431248069
distance_only,0,48,-2.282206431031227
distance_only,0,49,-2.3406235054135323
distance_only,1,0,-6.386832095682621
distance_only,1,1,-3.6545985117554665
distance_only,1,2,-1.3247183002531528
distance_only,1,3,-5.311305524781346
